epoch,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std
0,0.9383267195767196,0.1021592604601973,0.8349867724867724,0.09626935600535474
1,1.0644014550264551,0.16496629331949567,0.9341931216931217,0.12317844267320884
2,1.2256117724867726,0.07740982918321168,1.2318121693121695,0.24982803567471587
3,1.4839616402116402,0.18253474012747692,1.6121031746031749,0.22127686530947874
4,2.0295965608465605,0.11755708199638519,2.0502645502645502,0.2852362255667702
5,2.5731646825396823,0.20746790913093277,2.4966931216931214,0.2746899425568146
6,3.2490079365079367,0.10434367047600496,2.9927248677248675,0.2674281298830123
7,3.8835152116402116,0.1948806192350674,3.7285052910052907,0.32815664877342776
8,4.619295634920635,0.25663951040618094,4.365079365079366,0.3968253968253968
9,5.005787037037037,0.2684611918176176,4.654431216931218,0.3541217384393965
10,5.518353174603175,0.26573601658688245,5.109126984126984,0.4197261071687735
11,6.266534391534392,0.4197016810560766,5.894510582010582,0.4225499546074306
12,6.4959490740740735,0.304506195276563,6.374007936507937,0.7637922532155315
13,6.87624007936508,0.37488565249775135,6.911375661375661,0.7637385614469359
14,7.554150132275132,0.5336905500167938,7.159391534391535,0.8214780932341164
15,7.647156084656085,0.39219981015430894,7.5148809523809526,0.8033570652742322
16,8.37880291005291,0.506199525953952,7.77116402116402,0.549379885113629
17,8.688822751322752,0.5601902118519123,7.928240740740741,0.6424839901060743
18,9.00504298941799,0.705709399061335,8.391203703703702,0.4762076992035274
19,9.236524470899472,0.3766590098521479,8.523478835978837,0.659119000585552
20,9.78422619047619,0.6963904140950953,8.705357142857144,0.5975072488652001
21,9.800760582010582,0.7664319185354819,8.912037037037036,0.60886086770906
22,10.424933862433862,0.5528399355238999,9.04431216931217,0.6064313533373525
23,10.29472552910053,0.7836837197831569,9.556878306878307,0.7540117642694687
24,10.749421296296296,0.48811998024408265,9.639550264550264,0.6411422190833506
25,10.842427248677248,0.770833439732242,9.399801587301587,0.7274944381893041
26,11.557539682539682,0.7323820962417352,9.350198412698411,0.6726673321621351
27,11.685681216931217,0.8459728964413666,9.606481481481481,0.6615409846281807
28,12.09077380952381,0.6940014176405372,9.788359788359788,0.6434406849181813
29,11.97503306878307,0.7115793959798042,10.003306878306878,0.7540117642694686
30,12.072172619047619,0.7136115335503002,9.862764550264549,0.7136079419587288
31,12.646742724867726,0.4737308767942223,10.011574074074074,0.5091679898286315
32,12.669477513227513,0.7685958150461407,9.92063492063492,0.44255373061895775
33,12.940228174603176,0.8207320794191255,10.367063492063492,0.5424691712100126
34,13.091104497354495,0.7710728000967524,10.383597883597883,0.5582653113800969
35,13.107638888888888,0.7672073483093231,10.515873015873014,0.7133205560415697
36,13.382523148148147,0.9060361906162071,10.747354497354499,0.688513981933102
37,13.738012566137565,1.03278338116533,10.714285714285715,0.6851705019774602
38,13.735945767195767,0.868362568534894,10.805224867724869,0.5318576888613853
39,14.324983465608467,0.7951381410760688,10.813492063492063,0.6647565701488483
40,13.915757275132274,0.7673843839563655,10.962301587301587,0.7767293305977534
41,14.428323412698411,0.7947641465359302,11.02017195767196,0.712918021131664
42,14.399388227513228,1.148434458157123,11.03670634920635,0.6821112881325405
43,14.331183862433862,0.7580797636024454,10.954034391534393,0.7680754341560199
44,14.713541666666666,0.6168943037017923,11.028439153439153,0.7247271085561843
45,14.771412037037036,1.1108901077272735,11.21031746031746,0.6908922756539746
46,14.918154761904763,0.6881043848712839,11.031746031746033,0.6824719073954439
47,14.63293650793651,0.7950543300105306,11.001984126984128,0.878550502683072
48,15.0421626984127,1.0286306966293521,11.19047619047619,0.7721224486516152
49,15.178571428571427,0.8458486720131433,11.32936507936508,0.45543170361658913
50,15.203373015873018,0.7491454823512749,11.319444444444446,0.4965275300096117
51,15.230654761904763,0.4775030222265749,11.240079365079366,0.4791266127398117
